Year,Company,Revenue,P/L,mW sold,EV/Sales
,,mEUR,mEUR,MW,
2007,Vestas,3828,104,4974,
2008,Vestas,5904,470,6160,
2009,Vestas,5979,125,6131,
2010,Vestas,6920,156,4057,
2011,Vestas,5836,-166,5054,
2012,Vestas,7216,-963,6171,
2013,Vestas,6084,-82,4513,
2014,Vestas,6910,392,6125,
2015,Vestas,8423,685,7948,
2016,Vestas,10237,965,9957,
2017,Vestas,9953,894,11237,0.86
2018,Vestas,10134,683,10676,0.95
2019,Vestas,12147,700,12618,1.25
2020,Vestas,14819,771,17055,2.49
2021,Vestas,15587,176,17845,1.65
2007,Gamesa,3247,220,3289,
2008,Gamesa,3834,320,3684,
2009,Gamesa,3229,115,3145,
2010,Gamesa,2764,50,2405,
2011,Gamesa,3033,51,2802,
2012,Gamesa,2844,-659,2119,
2013,Gamesa,2336,45,1953,
2014,Gamesa,2846,92,2623,
2015,Gamesa,3504,170,3180,
2016,Gamesa,11000,,4332,
2017,Gamesa,11000,,8000,0.65
2018,Gamesa,9100,,11200,0.74
2019,Gamesa,10200,140,11500,0.74
2020,Gamesa,9500,,9968,1.66
2021,Gamesa,10198,-627,10995,1.49
