,09-2021,09-2020,09-2019,09-2018,12-2016,12-2015,09-2015,12-2014,09-2014,12-2013,09-2013,12-2012,09-2012,12-2011,09-2011,12-2010

Sales,"12,192,510","10,626,880","11,540,010","10,859,150","5,103,621","3,912,983",0,"3,783,390","3,783,390","3,102,400","3,102,400","3,427,250","3,427,250","4,215,470","4,215,470",0
"Cost of Goods","11,875,950","10,749,800","10,470,030","9,722,921",N/A,N/A,0,"2,653,370","2,653,370","1,846,780","1,846,780","2,347,480","2,347,480","3,224,030","3,224,030",0
"Gross Profit","316,558","-122,919","1,069,985","1,136,232","5,103,621","3,912,983","3,912,983","1,130,020","1,130,020","1,255,610","1,255,610","1,079,760","1,079,760","991,430","991,430",0
"Operating Expenses","942,010","950,940","784,910","886,130","4,575,355","3,552,547","3,552,547","952,050","952,050","993,100","993,100","946,300","946,300","808,400","808,400",0
"Operating Income","-624,496","-1,073,061","285,104","251,018","528,265","360,436","-3,552,547","178,340","178,340","263,300","263,300","133,950","133,950","183,070","183,070",0
"Interest Expense","60,801","74,442","59,738","65,029","-54,561","-52,628",0,"72,250","72,250",0,0,0,0,0,0,0
"Other Income","23,589","5,933","-10,487","13,745","-100,846","-129,849",0,"72,200","72,200","-182,990","-182,990","-891,840","-891,840","-85,860","-85,860",0
"Pre-tax Income","-661,708","-1,141,570","214,879","199,734","481,981","283,215","-3,552,547","178,290","178,290","80,310","80,310","-757,890","-757,890","97,210","97,210",0
"Income Tax","86,628","-111,784","55,845","116,489","137,678","85,493",N/A,"50,670","50,670","14,780","14,780","-113,020","-113,020","25,200","25,200",0
"Net Income Continuous","-748,337","-1,029,785","159,034","83,245","344,303","197,722","-3,552,165","128,526","128,526","59,817","59,817","-645,051","-645,051","72,010","72,010",0
"Net Income Discontinuous",N/A,N/A,N/A,N/A,"-9,672","-8,010",N/A,0,0,"-4,100","-4,100","-203,050","-203,050",0,0,0
"Minority Interests",874,-875,"1,056",-75,"1,237",-382,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
"Net Income",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L

"Dividend Per Share",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
"EPS Basic Total Ops",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
"EPS Basic Continuous Ops",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
"EPS Basic Discontinuous Ops",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
"EPS Diluted Total Ops",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
"EPS Diluted Continuous Ops",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
"EPS Diluted Discontinuous Ops",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
"EPS Diluted Before Non-Recurring Items",N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
Ebitda,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L,N/L
"Downloaded from Barchart.com as of 06-15-2022 08:00pm CDT"
