Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,2.950000,3.000000,2.310000,2.400000,1.879986,77000
2010-03-01,2.430000,2.820000,2.400000,2.740000,2.146317,122900
2010-04-01,2.790000,3.090000,2.150000,2.410000,1.887819,181800
2010-05-01,2.420000,2.480000,1.820000,1.900000,1.488322,246000
2010-06-01,1.950000,2.110000,1.660000,1.740000,1.362990,548000
2010-07-01,1.710000,2.020000,1.650000,1.750000,1.370823,240400
2010-08-01,1.750000,1.750000,1.250000,1.300000,1.034417,90000
2010-09-01,1.350000,1.470000,1.250000,1.400000,1.113987,194600
2010-10-01,1.380000,1.500000,1.200000,1.390000,1.106030,114900
2010-11-01,1.390000,1.510000,1.310000,1.320000,1.050331,116700
2010-12-01,1.320000,1.610000,1.310000,1.600000,1.273128,228600
2011-01-01,1.600000,1.600000,1.290000,1.550000,1.233343,155600
2011-02-01,1.550000,1.780000,1.450000,1.720000,1.368613,128500
2011-03-01,1.710000,2.120000,1.680000,2.120000,1.686895,280800
2011-04-01,2.020000,2.180000,1.730000,1.780000,1.416355,33100
2011-05-01,1.760000,1.940000,1.660000,1.820000,1.448183,126600
2011-06-01,1.840000,1.870000,1.370000,1.460000,1.161729,457900
2011-07-01,1.540000,1.540000,1.300000,1.450000,1.155411,200200
2011-08-01,1.370000,1.370000,0.970000,1.090000,0.869793,232700
2011-09-01,1.180000,1.180000,0.710000,0.800000,0.638380,534600
2011-10-01,0.800000,1.110000,0.750000,0.980000,0.782016,18100
2011-11-01,0.980000,0.980000,0.630000,0.820000,0.654340,41300
2011-12-01,0.820000,0.930000,0.700000,0.700000,0.558583,24200
2012-01-01,0.720000,0.750000,0.620000,0.630000,0.502724,144600
2012-02-01,0.810000,0.830000,0.650000,0.670000,0.534643,7200
2012-03-01,0.670000,0.700000,0.500000,0.500000,0.398988,25600
2012-04-01,0.500000,0.730000,0.410000,0.550000,0.438886,60900
2012-05-01,0.440000,0.530000,0.320000,0.380000,0.303231,98400
2012-06-01,0.380000,0.450000,0.300000,0.390000,0.311210,56100
2012-07-01,0.390000,0.500000,0.360000,0.360000,0.287271,141300
2012-08-01,0.360000,0.490000,0.240000,0.310000,0.254058,10400
2012-09-01,0.310000,0.380000,0.310000,0.380000,0.313166,6800
2012-10-01,0.380000,0.390000,0.350000,0.390000,0.321407,600
2012-11-01,0.390000,0.500000,0.360000,0.400000,0.329648,9900
2012-12-01,0.400000,0.450000,0.360000,0.450000,0.370854,14600
2013-01-01,0.500000,0.550000,0.420000,0.420000,0.346131,7500
2013-02-01,0.400000,0.570000,0.380000,0.570000,0.469749,13600
2013-03-01,0.520000,0.680000,0.520000,0.630000,0.519196,93300
2013-04-01,0.530000,0.820000,0.530000,0.820000,0.675779,11600
2013-05-01,0.810000,0.950000,0.800000,0.850000,0.700503,32500
2013-06-01,0.850000,1.040000,0.850000,1.040000,0.857085,10500
2013-07-01,1.070000,1.480000,1.070000,1.430000,1.178492,30900
2013-08-01,1.450000,1.700000,1.340000,1.380000,1.137286,71800
2013-09-01,1.380000,1.750000,1.380000,1.730000,1.425729,76500
2013-10-01,1.740000,2.050000,1.740000,1.860000,1.532864,148100
2013-11-01,1.960000,1.990000,1.790000,1.950000,1.607035,21300
2013-12-01,1.950000,2.100000,1.750000,2.020000,1.664724,39300
2014-01-01,2.020000,2.390000,2.020000,2.190000,1.804824,17900
2014-02-01,2.090000,2.180000,2.070000,2.180000,1.796583,39800
2014-03-01,2.150000,2.400000,2.040000,2.080000,1.714171,6800
2014-04-01,2.200000,2.200000,1.860000,1.940000,1.598794,14900
2014-05-01,1.940000,2.340000,1.940000,2.340000,1.928442,16000
2014-06-01,2.340000,2.480000,2.340000,2.380000,1.961407,8800
2014-07-01,2.380000,2.610000,2.380000,2.610000,2.150955,11400
2014-08-01,2.610000,2.610000,2.270000,2.500000,2.060302,14500
2014-09-01,2.500000,2.500000,2.200000,2.260000,1.862513,86900
2014-10-01,2.260000,2.260000,1.630000,1.840000,1.516382,13300
2014-11-01,1.840000,1.950000,1.840000,1.900000,1.565829,300
2014-12-01,1.900000,1.900000,1.840000,1.900000,1.565829,25900
2015-01-01,1.900000,1.900000,1.720000,1.720000,1.417488,700
2015-02-01,1.900000,2.230000,1.900000,2.230000,1.837789,6000
2015-03-01,2.290000,2.450000,2.290000,2.430000,2.002613,7100
2015-04-01,2.500000,2.690000,2.490000,2.690000,2.216885,14700
2015-05-01,2.690000,3.060000,2.690000,3.060000,2.521809,7900
2015-06-01,3.060000,3.250000,2.970000,3.130000,2.579498,3500
2015-07-01,3.280000,3.670000,3.210000,3.220000,2.653668,23800
2015-08-01,3.290000,3.330000,2.680000,2.990000,2.478792,5500
2015-09-01,2.990000,2.990000,2.690000,2.690000,2.230084,1600
2015-10-01,2.690000,3.080000,2.690000,3.080000,2.553405,7800
2015-11-01,3.190000,3.370000,3.130000,3.370000,2.793823,9500
2015-12-01,3.370000,3.600000,3.370000,3.430000,2.843565,28900
2016-01-01,3.430000,3.810000,3.270000,3.740000,3.100563,24700
2016-02-01,3.710000,3.790000,3.460000,3.750000,3.108854,17700
2016-03-01,3.750000,3.920000,3.530000,3.920000,3.249788,4100
2016-04-01,3.900000,3.900000,3.660000,3.860000,3.200047,7500
2016-05-01,3.860000,4.200000,3.860000,3.910000,3.241498,11500
2016-06-01,4.020000,4.250000,3.520000,4.140000,3.432174,69100
2016-07-01,4.030000,4.250000,3.630000,4.150000,3.440465,32200
2016-08-01,4.250000,4.630000,4.140000,4.520000,3.779088,16700
2016-09-01,4.560000,4.870000,4.560000,4.860000,4.063356,8600
2016-10-01,4.860000,4.860000,4.440000,4.660000,3.896139,30400
2016-11-01,4.480000,4.480000,3.800000,4.220000,3.528263,16000
2016-12-01,4.220000,4.220000,3.770000,4.000000,3.344326,8400
2017-01-01,4.000000,4.000000,4.000000,4.000000,3.344326,0
2017-02-01,4.210000,4.500000,4.210000,4.430000,3.703840,9600
2017-03-01,4.490000,4.890000,4.490000,4.830000,4.038273,13500
2017-04-01,4.830000,4.830000,4.000000,4.270000,3.570067,90100
2017-05-01,4.250000,4.750000,4.250000,4.610000,4.598427,11500
2017-06-01,4.500000,4.570000,4.090000,4.280000,4.269255,30400
2017-07-01,4.280000,4.280000,3.160000,3.230000,3.221891,37400
2017-08-01,3.230000,3.380000,2.890000,3.110000,3.102192,22600
2017-09-01,3.110000,3.110000,2.550000,2.590000,2.583498,33900
2017-10-01,2.740000,3.000000,2.550000,2.910000,2.902694,88300
2017-11-01,2.900000,2.920000,2.140000,2.500000,2.493724,61100
2017-12-01,2.540000,2.850000,2.400000,2.680000,2.673272,62700
2018-01-01,2.850000,3.340000,2.680000,3.150000,3.142092,81400
2018-02-01,3.150000,3.170000,2.810000,3.120000,3.112167,20900
2018-03-01,3.030000,3.370000,3.030000,3.200000,3.191967,25000
2018-04-01,3.170000,3.520000,3.060000,3.520000,3.511163,42400
2018-05-01,3.470000,3.510000,3.100000,3.120000,3.112167,27900
2018-06-01,3.120000,3.220000,2.650000,2.650000,2.643347,24700
2018-07-01,2.640000,2.790000,2.620000,2.790000,2.782996,2800
2018-08-01,2.790000,3.120000,2.610000,3.120000,3.112167,26300
2018-09-01,3.120000,3.120000,2.500000,2.570000,2.563548,29900
2018-10-01,2.500000,2.510000,2.100000,2.120000,2.114678,16700
2018-11-01,2.120000,2.840000,2.120000,2.830000,2.822895,13900
2018-12-01,2.830000,2.880000,2.290000,2.460000,2.453824,12400
2019-01-01,2.460000,2.890000,2.460000,2.810000,2.802945,31900
2019-02-01,2.970000,3.140000,2.850000,3.080000,3.072268,5400
2019-03-01,3.050000,3.210000,2.930000,3.080000,3.072268,6100
2019-04-01,3.310000,3.550000,3.210000,3.550000,3.541088,24800
2019-05-01,3.550000,3.550000,3.040000,3.040000,3.032368,17000
2019-06-01,3.130000,3.540000,3.100000,3.370000,3.361540,22900
2019-07-01,3.370000,3.540000,2.750000,2.750000,2.743096,32100
2019-08-01,2.920000,2.930000,2.570000,2.720000,2.713171,53900
2019-09-01,2.720000,3.000000,2.720000,2.770000,2.763046,26500
2019-10-01,2.770000,2.850000,2.550000,2.680000,2.673272,14200
2019-11-01,2.850000,3.100000,2.590000,3.060000,3.052318,1068900
2019-12-01,3.190000,3.630000,3.130000,3.500000,3.491213,54400
2020-01-01,3.480000,3.500000,3.130000,3.140000,3.132117,70100
2020-02-01,3.320000,3.980000,3.070000,3.070000,3.062293,58500
2020-03-01,3.290000,3.460000,2.390000,2.970000,2.962544,87600
2020-04-01,2.900000,3.020000,2.710000,2.880000,2.872770,29900
2020-05-01,3.000000,3.430000,2.780000,3.320000,3.311665,44200
2020-06-01,3.350000,3.750000,3.110000,3.710000,3.700686,2981600
2020-07-01,3.590000,4.850000,3.420000,4.610000,4.598427,5652600
2020-08-01,4.700000,5.580000,4.590000,5.290000,5.290000,366900
2020-09-01,5.300000,5.540000,4.830000,5.450000,5.450000,349100
2020-10-01,5.550000,6.240000,5.550000,5.630000,5.630000,399400
2020-11-01,5.700000,7.230000,5.610000,7.180000,7.180000,521800
2020-12-01,7.040000,8.240000,6.760000,8.070000,8.070000,3760100
2021-01-01,8.350000,9.690000,7.900000,8.220000,8.220000,4110000
2021-02-01,8.160000,8.550000,7.090000,7.420000,7.420000,4173300
2021-03-01,7.340000,7.780000,6.330000,7.740000,7.740000,3451100
2021-04-01,7.650000,7.900000,6.930000,7.070000,7.070000,1775000
2021-05-01,7.010000,7.020000,5.980000,6.580000,6.580000,9312900
2021-06-01,6.520000,6.860000,5.860000,6.660000,6.660000,1979100
2021-07-01,6.540000,6.710000,5.010000,5.550000,5.550000,1671200
2021-08-01,5.730000,6.040000,5.560000,5.880000,5.880000,1226000
2021-09-01,6.070000,6.100000,5.030000,5.050000,5.050000,781200
2021-10-01,4.910000,5.490000,4.500000,5.400000,5.400000,801200
2021-11-01,5.410000,5.410000,4.230000,5.310000,5.310000,1757500
2021-12-01,5.110000,5.250000,4.470000,4.720000,4.720000,1935400
2022-01-01,4.900000,4.900000,3.510000,4.270000,4.270000,2397600
2022-02-01,4.190000,4.640000,3.600000,4.550000,4.550000,2886000
2022-03-01,4.600000,4.600000,3.320000,3.510000,3.510000,2713600
2022-04-01,3.500000,3.770000,3.000000,3.120000,3.120000,3012500
2022-05-01,3.010000,3.890000,2.600000,3.820000,3.820000,3611400
2022-06-01,3.820000,3.900000,3.640000,3.680000,3.680000,762200
