Date,Open,High,Low,Close,Adj Close,Volume
2007-11-01,5.860000,7.040000,5.320000,6.416000,5.797927,1468500
2007-12-01,6.598000,7.370000,6.200000,7.330000,6.623879,3614000
2008-01-01,7.240000,7.390000,5.400000,6.440000,5.819616,3392000
2008-02-01,6.600000,7.400000,6.460000,6.910000,6.244339,1784000
2008-03-01,7.092000,7.480000,6.840000,7.370000,6.660025,2985500
2008-04-01,7.300000,7.600000,7.000000,7.320000,6.614842,2388500
2008-05-01,7.400000,9.300000,6.950000,9.300000,8.404101,3846000
2008-06-01,9.318000,9.630000,8.650000,8.828000,7.977571,6247000
2008-07-01,8.750000,8.950000,7.970000,8.750000,7.907085,5707000
2008-08-01,8.560000,9.200000,7.400000,9.180000,8.295663,6044500
2008-09-01,8.760000,8.892000,5.546000,5.850000,5.286451,6903500
2008-10-01,6.070000,6.070000,2.112000,2.950000,2.665817,16934500
2008-11-01,2.900000,3.850000,2.180000,2.990000,2.701964,16626500
2008-12-01,2.904000,4.000000,2.710000,3.870000,3.497191,24575000
2009-01-01,4.040000,4.348000,3.220000,3.290000,2.973064,13828000
2009-02-01,3.100000,3.596000,2.862000,2.924000,2.642322,10807500
2009-03-01,2.822000,3.090000,2.450000,2.906000,2.626056,9292500
2009-04-01,3.050000,4.444000,3.026000,4.320000,3.903841,20955500
2009-05-01,4.410000,5.300000,4.330000,4.870000,4.400858,44519500
2009-06-01,4.892000,5.080000,4.360000,4.770000,4.310491,18923000
2009-07-01,4.828000,4.994000,4.284000,4.710000,4.256272,14380000
2009-08-01,4.680000,5.106000,4.556000,4.790000,4.328565,12349500
2009-09-01,4.810000,5.228000,4.626000,4.864000,4.395436,9566500
2009-10-01,4.640000,4.874000,4.160000,4.720000,4.265308,15476000
2009-11-01,4.690000,5.200000,4.592000,4.680000,4.229161,5762500
2009-12-01,4.720000,4.810000,3.800000,4.060000,3.668888,23582000
2010-01-01,4.200000,4.330000,3.400000,3.502000,3.164642,15470000
2010-02-01,3.520000,3.650000,3.230000,3.300000,2.982101,12662500
2010-03-01,3.254000,3.646000,3.204000,3.612000,3.264045,15744000
2010-04-01,3.600000,4.384000,3.600000,4.040000,3.650814,10179000
2010-05-01,4.046000,4.088000,3.000000,3.178000,2.871853,17216000
2010-06-01,3.102000,3.318000,2.718000,2.762000,2.495928,13018500
2010-07-01,2.770000,3.392000,2.736000,3.252000,2.938725,9900500
2010-08-01,3.324000,3.654000,2.458000,2.464000,2.226635,32613000
2010-09-01,2.560000,2.630000,2.346000,2.492000,2.251939,24238000
2010-10-01,2.536000,2.652000,2.082000,2.110000,1.906737,15183500
2010-11-01,2.064000,2.252000,1.814000,1.896000,1.713353,7816000
2010-12-01,1.880000,2.182000,1.856000,2.106000,1.903123,8967000
