Year,Wind,Onshore wind energy,Offshore wind energy
2000,6095.00,6095.00,0.00
2001,8754.00,8754.00,0.00
2002,12001.00,12001.00,0.00
2003,14381.00,14381.00,0.00
2004,16419.00,16419.00,0.00
2005,18248.00,18248.00,0.00
2006,20474.00,20474.00,0.00
2007,22116.00,22116.00,0.00
2008,22794.00,22794.00,0.00
2009,25732.00,25697.00,35.00
2010,26903.00,26823.00,80.00
2011,28712.00,28524.00,188.00
2012,30979.00,30711.00,268.00
2013,33477.00,32969.00,508.00
2014,38614.00,37620.00,994.00
2015,44580.00,41297.00,3283.00
2016,49435.00,45303.00,4132.00
2017,55580.00,50174.00,5406.00
2018,58721.00,52328.00,6393.00
2019,60742.00,53187.00,7555.00
2020,62188.00,54414.00,7774.00
2021,63760.00,56013.00,7747.00
