Year,Company,Country,Total Deliveries (MW),Total Wind Platforms Onshore and Offshore (MW),Onshore Wind Platforms (MW),Offshore Wind Platforms (MW),Total Service Track Record (MW),Onshore Service Track Record (MW),Offshore Service Track Record (MW)
2017,Gamesa,Germany,,6011,,,4616,,
2018,Gamesa,Germany,,6785,2304,4481,4750,988,3762
2019,Gamesa,Germany,,7510,2335,5174,5113,724,4389
2020,Gamesa,Germany,,7393,2370,5023,14270,9560,4710
2021,Gamesa,Germany,,7502,2478,5023,13280,9530,3750
2017,Gamesa,Poland,,1045,1045,0,911,911,0
2018,Gamesa,Poland,,1045,1045,0,915,915,0
2019,Gamesa,Poland,,1053,1053,0,919,919,0
2020,Gamesa,Poland,,1159,1159,0,853,853,0
2021,Gamesa,Poland,,1297,1297,0,880,880,0
2016,Vestas,Germany,1119,,,,,,
2017,Vestas,Germany,1336,,,,,,
2018,Vestas,Germany,638,,,,,,
2019,Vestas,Germany,445,,,,,,
2020,Vestas,Germany,499,,,,,,
2021,Vestas,Germany,598,,,,,,
2016,Vestas,Poland,0,,,,,,
2017,Vestas,Poland,0,,,,,,
2018,Vestas,Poland,0,,,,,,
2019,Vestas,Poland,76,,,,,,
2020,Vestas,Poland,413,,,,,,
2021,Vestas,Poland,739,,,,,,
