Year,Installed Capacity (MW),Generation (GW·h),Capacity Factor in percent,Capacity Factor 
1990,55,71,14.74,0.1474
1991,106,100,10.77,0.1077
1992,174,275,18.04,0.1804
1993,326,600,21.01,0.2101
1994,618,909,16.79,0.1679
1995,1121,1500,15.28,0.1528
1996,1549,2032,14.98,0.1498
1997,2089,2966,16.21,0.1621
1998,2877,4489,17.81,0.1781
1999,4435,5528,14.23,0.1423
2000,6097,9513,17.81,0.1781
2001,8738,10509,13.73,0.1373
2002,11976,15786,15.05,0.1505
2003,14381,18713,14.64,0.1464
2004,16419,25509,17.53,0.1753
2005,18248,27229,16.92,0.1692
2006,20474,30710,17.04,0.1704
2007,22116,39713,20.44,0.2044
2008,22794,40574,19.45,0.1945
2009,25732,38648,17.19,0.1719
2010,26903,37795,16.04,0.1604
2011,28712,48891,19.44,0.1944
2012,30979,50681,18.68,0.1868
2013,33477,51721,17.75,0.1775
2014,38614,57379,17.07,0.1707
2015,44541,79206,20.43,0.2043
2016,49534,77412,17.95,0.1795
2017,55550,103650,21.3,0.213
2018,59420,111410,21.4,0.214
2019,61357,127230,23.67,0.2367
2020,62708,131700,23.97,0.2397
